"terminal","wifi_rssi","__dt"
"sparrow_16","-81","2021-03-06 00:00:00.000"
"sparrow_16","-86","2021-03-08 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_2","-56","2021-03-05 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_16","-83","2021-03-04 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-68","2021-03-06 00:00:00.000"
"sparrow_16","-86","2021-03-06 00:00:00.000"
"sparrow_13","-73","2021-03-06 00:00:00.000"
"sparrow_9","-64","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_10","-62","2021-03-04 00:00:00.000"
"sparrow_13","-74","2021-03-04 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_16","-85","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_4","-57","2021-03-04 00:00:00.000"
"sparrow_4","-56","2021-03-04 00:00:00.000"
"sparrow_11","-68","2021-03-06 00:00:00.000"
"sparrow_18","-53","2021-03-04 00:00:00.000"
"sparrow_10","-72","2021-03-05 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_12","-54","2021-03-04 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-72","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_1","-56","2021-03-06 00:00:00.000"
"sparrow_13","-75","2021-03-08 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_8","-50","2021-03-08 00:00:00.000"
"sparrow_3","-55","2021-03-06 00:00:00.000"
"sparrow_16","-86","2021-03-06 00:00:00.000"
"sparrow_11","-68","2021-03-08 00:00:00.000"
"sparrow_9","-64","2021-03-06 00:00:00.000"
"sparrow_18","-61","2021-03-04 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_16","-81","2021-03-05 00:00:00.000"
"sparrow_16","-82","2021-03-05 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_14","-64","2021-03-04 00:00:00.000"
"sparrow_2","-49","2021-03-08 00:00:00.000"
"sparrow_16","-82","2021-03-08 00:00:00.000"
"sparrow_19","-69","2021-03-08 00:00:00.000"
"sparrow_1","-48","2021-03-06 00:00:00.000"
"sparrow_19","-68","2021-03-08 00:00:00.000"
"sparrow_6","-52","2021-03-08 00:00:00.000"
"sparrow_9","-63","2021-03-08 00:00:00.000"
"sparrow_7","-48","2021-03-05 00:00:00.000"
"sparrow_16","-81","2021-03-04 00:00:00.000"
"sparrow_16","-83","2021-03-08 00:00:00.000"
"sparrow_9","-65","2021-03-05 00:00:00.000"
"sparrow_9","-67","2021-03-05 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_16","-82","2021-03-04 00:00:00.000"
"sparrow_19","-71","2021-03-06 00:00:00.000"
"sparrow_12","-52","2021-03-08 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_16","-80","2021-03-05 00:00:00.000"
"sparrow_16","-81","2021-03-04 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_17","-49","2021-03-08 00:00:00.000"
"sparrow_16","-85","2021-03-08 00:00:00.000"
"sparrow_15","-61","2021-03-05 00:00:00.000"
"sparrow_16","-89","2021-03-08 00:00:00.000"
"sparrow_13","-76","2021-03-06 00:00:00.000"
"sparrow_7","-48","2021-03-05 00:00:00.000"
"sparrow_12","-54","2021-03-05 00:00:00.000"
"sparrow_13","-77","2021-03-08 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_16","-82","2021-03-06 00:00:00.000"
"sparrow_14","-43","2021-03-06 00:00:00.000"
"sparrow_1","-57","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_8","-54","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_18","-57","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_7","-56","2021-03-06 00:00:00.000"
"sparrow_12","-53","2021-03-08 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_16","-87","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_16","-84","2021-03-06 00:00:00.000"
"sparrow_12","-56","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-72","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_1","-70","2021-03-06 00:00:00.000"
"sparrow_13","-76","2021-03-08 00:00:00.000"
"sparrow_11","-68","2021-03-06 00:00:00.000"
"sparrow_16","-82","2021-03-04 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-72","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_16","-84","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_16","-85","2021-03-06 00:00:00.000"
"sparrow_16","-82","2021-03-04 00:00:00.000"
"sparrow_16","-83","2021-03-06 00:00:00.000"
"sparrow_16","-84","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_13","-76","2021-03-06 00:00:00.000"
"sparrow_16","-80","2021-03-04 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_16","-83","2021-03-06 00:00:00.000"
"sparrow_13","-76","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-72","2021-03-06 00:00:00.000"
"sparrow_8","-45","2021-03-04 00:00:00.000"
"sparrow_16","-85","2021-03-06 00:00:00.000"
"sparrow_13","-75","2021-03-06 00:00:00.000"
"sparrow_7","-54","2021-03-06 00:00:00.000"
"sparrow_13","-76","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_16","-86","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
