"transaction","status","__dt"
"32381","complete","2021-01-20 00:00:00.000"
"46209","complete","2021-02-03 00:00:00.000"
"52946","complete","2021-02-11 00:00:00.000"
"35179","complete","2021-01-23 00:00:00.000"
"58708","complete","2021-02-20 00:00:00.000"
"59001","complete","2021-02-20 00:00:00.000"
"58665","complete","2021-02-20 00:00:00.000"
"51473","complete","2021-02-09 00:00:00.000"
"58905","complete","2021-02-20 00:00:00.000"
"66655","complete","2021-03-09 00:00:00.000"
"66653","complete","2021-03-09 00:00:00.000"
"51553","complete","2021-02-09 00:00:00.000"
"58837","complete","2021-02-20 00:00:00.000"
"32210","complete","2021-01-19 00:00:00.000"
"55982","complete","2021-02-14 00:00:00.000"
"56038","complete","2021-02-14 00:00:00.000"
"56102","complete","2021-02-14 00:00:00.000"
"51595","complete","2021-02-09 00:00:00.000"
"58709","complete","2021-02-20 00:00:00.000"
"55805","complete","2021-02-14 00:00:00.000"
"58669","complete","2021-02-20 00:00:00.000"
"58955","complete","2021-02-20 00:00:00.000"
"59025","complete","2021-02-20 00:00:00.000"
"56383","complete","2021-02-14 00:00:00.000"
"58972","complete","2021-02-20 00:00:00.000"
"58675","complete","2021-02-20 00:00:00.000"
"32095","complete","2021-01-19 00:00:00.000"
"51489","complete","2021-02-09 00:00:00.000"
"51491","complete","2021-02-09 00:00:00.000"
"51660","complete","2021-02-09 00:00:00.000"
"55989","complete","2021-02-14 00:00:00.000"
"55804","complete","2021-02-14 00:00:00.000"
"58668","complete","2021-02-20 00:00:00.000"
"51472","complete","2021-02-09 00:00:00.000"
"59115","complete","2021-02-20 00:00:00.000"
"59116","complete","2021-02-20 00:00:00.000"
"58823","complete","2021-02-20 00:00:00.000"
"59020","complete","2021-02-20 00:00:00.000"
"56262","complete","2021-02-14 00:00:00.000"
"51602","complete","2021-02-09 00:00:00.000"
"55949","complete","2021-02-14 00:00:00.000"
"51647","complete","2021-02-09 00:00:00.000"
"55821","complete","2021-02-14 00:00:00.000"
"32341","complete","2021-01-19 00:00:00.000"
"59060","complete","2021-02-20 00:00:00.000"
"66651","complete","2021-03-09 00:00:00.000"
"58666","complete","2021-02-20 00:00:00.000"
"61335","complete","2021-02-23 00:00:00.000"
"55858","complete","2021-02-14 00:00:00.000"
"59156","complete","2021-02-20 00:00:00.000"
"59135","complete","2021-02-20 00:00:00.000"
"55895","complete","2021-02-14 00:00:00.000"
"56700","complete","2021-02-14 00:00:00.000"
"55837","complete","2021-02-14 00:00:00.000"
"66682","complete","2021-03-09 00:00:00.000"
"58699","complete","2021-02-20 00:00:00.000"
"66665","complete","2021-03-09 00:00:00.000"
"55801","complete","2021-02-14 00:00:00.000"
"59069","complete","2021-02-20 00:00:00.000"
"59068","complete","2021-02-20 00:00:00.000"
"66673","complete","2021-03-09 00:00:00.000"
"66741","complete","2021-03-09 00:00:00.000"
"56281","complete","2021-02-14 00:00:00.000"
"56542","complete","2021-02-14 00:00:00.000"
"59133","complete","2021-02-20 00:00:00.000"
"48326","complete","2021-02-06 00:00:00.000"
"61260","complete","2021-02-23 00:00:00.000"
"58851","complete","2021-02-20 00:00:00.000"
"58664","complete","2021-02-20 00:00:00.000"
"51798","complete","2021-02-09 00:00:00.000"
"55875","complete","2021-02-14 00:00:00.000"
"55959","complete","2021-02-14 00:00:00.000"
"51515","complete","2021-02-09 00:00:00.000"
"66709","complete","2021-03-09 00:00:00.000"
"66645","complete","2021-03-09 00:00:00.000"
"66683","complete","2021-03-09 00:00:00.000"
"59131","complete","2021-02-20 00:00:00.000"
"52048","complete","2021-02-09 00:00:00.000"
"66670","complete","2021-03-09 00:00:00.000"
"59134","complete","2021-02-20 00:00:00.000"
"58765","complete","2021-02-20 00:00:00.000"
"55835","complete","2021-02-14 00:00:00.000"
"51415","complete","2021-02-09 00:00:00.000"
"58898","complete","2021-02-20 00:00:00.000"
"59130","complete","2021-02-20 00:00:00.000"
"66740","complete","2021-03-09 00:00:00.000"
"48426","complete","2021-02-06 00:00:00.000"
"48412","complete","2021-02-06 00:00:00.000"
"56241","complete","2021-02-14 00:00:00.000"
"48446","complete","2021-02-06 00:00:00.000"
"56459","complete","2021-02-14 00:00:00.000"
"51555","complete","2021-02-09 00:00:00.000"
"48256","complete","2021-02-06 00:00:00.000"
"51450","complete","2021-02-09 00:00:00.000"
"61250","complete","2021-02-23 00:00:00.000"
"66666","complete","2021-03-09 00:00:00.000"
"56579","complete","2021-02-14 00:00:00.000"
"58767","complete","2021-02-20 00:00:00.000"
"48235","complete","2021-02-06 00:00:00.000"
"59274","complete","2021-02-20 00:00:00.000"
"56086","complete","2021-02-14 00:00:00.000"
"55906","complete","2021-02-14 00:00:00.000"
"56428","complete","2021-02-14 00:00:00.000"
"66641","complete","2021-03-09 00:00:00.000"
"56609","complete","2021-02-14 00:00:00.000"
"58750","complete","2021-02-20 00:00:00.000"
"58667","complete","2021-02-20 00:00:00.000"
"55814","complete","2021-02-14 00:00:00.000"
"58745","complete","2021-02-20 00:00:00.000"
"48232","complete","2021-02-06 00:00:00.000"
"61384","complete","2021-02-23 00:00:00.000"
"55832","complete","2021-02-14 00:00:00.000"
"32209","complete","2021-01-19 00:00:00.000"
"48290","complete","2021-02-06 00:00:00.000"
"66681","complete","2021-03-09 00:00:00.000"
"51915","complete","2021-02-09 00:00:00.000"
"66644","complete","2021-03-09 00:00:00.000"
"55994","complete","2021-02-14 00:00:00.000"
"66679","complete","2021-03-09 00:00:00.000"
"51541","complete","2021-02-09 00:00:00.000"
"55948","complete","2021-02-14 00:00:00.000"
"56246","complete","2021-02-14 00:00:00.000"
"66671","complete","2021-03-09 00:00:00.000"
"59230","complete","2021-02-20 00:00:00.000"
"59272","complete","2021-02-20 00:00:00.000"
"51659","complete","2021-02-09 00:00:00.000"
"58692","complete","2021-02-20 00:00:00.000"
"58670","complete","2021-02-20 00:00:00.000"
"56355","complete","2021-02-14 00:00:00.000"
"66773","complete","2021-03-09 00:00:00.000"
"51806","complete","2021-02-09 00:00:00.000"
"48225","complete","2021-02-06 00:00:00.000"
"59041","complete","2021-02-20 00:00:00.000"
"56689","complete","2021-02-14 00:00:00.000"
"66669","complete","2021-03-09 00:00:00.000"
"56386","complete","2021-02-14 00:00:00.000"
"61291","complete","2021-02-23 00:00:00.000"
"58799","complete","2021-02-20 00:00:00.000"
"56430","complete","2021-02-14 00:00:00.000"
"59136","complete","2021-02-20 00:00:00.000"
"55968","complete","2021-02-14 00:00:00.000"
"51524","complete","2021-02-09 00:00:00.000"
"58914","complete","2021-02-20 00:00:00.000"
"51805","complete","2021-02-09 00:00:00.000"
"59113","complete","2021-02-20 00:00:00.000"
"59114","complete","2021-02-20 00:00:00.000"
"48228","complete","2021-02-06 00:00:00.000"
"66656","complete","2021-03-09 00:00:00.000"
"59110","complete","2021-02-20 00:00:00.000"
"56658","complete","2021-02-14 00:00:00.000"
"56406","complete","2021-02-14 00:00:00.000"
"56253","complete","2021-02-14 00:00:00.000"
"56426","complete","2021-02-14 00:00:00.000"
"51920","complete","2021-02-09 00:00:00.000"
"56272","complete","2021-02-14 00:00:00.000"
"59129","complete","2021-02-20 00:00:00.000"
"66672","complete","2021-03-09 00:00:00.000"
"61383","complete","2021-02-23 00:00:00.000"
"58723","complete","2021-02-20 00:00:00.000"
"56664","complete","2021-02-14 00:00:00.000"
"59117","complete","2021-02-20 00:00:00.000"
"59276","complete","2021-02-20 00:00:00.000"
"59172","complete","2021-02-20 00:00:00.000"
"56620","complete","2021-02-14 00:00:00.000"
"61313","complete","2021-02-23 00:00:00.000"
"59229","complete","2021-02-20 00:00:00.000"
"48547","complete","2021-02-06 00:00:00.000"
"61265","complete","2021-02-23 00:00:00.000"
"48295","complete","2021-02-06 00:00:00.000"
"66678","complete","2021-03-09 00:00:00.000"
"51804","complete","2021-02-09 00:00:00.000"
"56665","complete","2021-02-14 00:00:00.000"
"48371","complete","2021-02-06 00:00:00.000"
