"id","terminal_id","tokens","cash","created_at","signature","__dt"
"59619","13","10.0","10.00","1613875233","631b2b3f34db6f66b1a8fe9f0e7c0ddac1c22cc1e24e74e3aaea095e770186a0","2021-02-21 00:00:00.000"
"53402","18","20.0","20.00","1613032190","203fd078525e1be3668985d10f4f85d3d270d90010170e1a9a11d051ff1905c7","2021-02-11 00:00:00.000"
"59863","18","11.0","11.00","1613883279","ba0aa6b2cba353f1e296a34fb133971312ed6f735c71629204c6b3d49f2db233","2021-02-21 00:00:00.000"
"52905","2","10.0","10.00","1613009463","cf21a2cce3950f0082c3a17ee78af4035e5aa1d4a383b114499bdb647fa7db94","2021-02-11 00:00:00.000"
"53033","3","6.0","6.00","1613015845","1d95793eda999c4238bf3d3b620721f021d53a2481f85f057a4ef718dca586f4","2021-02-11 00:00:00.000"
"66185","3","20.0","20.00","1615128241","323ac43229250015edb746287014b5848232239f10f689be2b49bdbcf4769658","2021-03-07 00:00:00.000"
"59505","11","5.0","5.00","1613870192","14fec973aa580dd5c44ccf3a95e7dc080c327dfa4e71e33ac1999f188bc7701c","2021-02-21 00:00:00.000"
"53133","17","1.0","1.00","1613020263","1292357fb03eb43f0809968b0e59dc7bb8b42af5868ea38a105efebcce751f51","2021-02-11 00:00:00.000"
"50139","11","25.0","25.00","1612686428","a3d239ccfb7041a1797a61b078278728a0209a885e59965aad8cbb9044af2422","2021-02-07 00:00:00.000"
"49829","11","6.0","6.00","1612676970","64e7331a451553b9829ed4092d95aad3b37d02e223f7dc1550917a6613256142","2021-02-07 00:00:00.000"
"49869","15","1.0","1.00","1612678033","d752de594f48462bb5c44d02d6a90a3ffb786839463278956498852cbe651632","2021-02-07 00:00:00.000"
"60489","3","20.0","20.00","1613906962","d4bd67ecd40968d7dcba5db7b2d94d5c80cec99026036977192df64ecbdc9076","2021-02-21 00:00:00.000"
"50168","14","10.0","10.00","1612687352","49dfc3b21b28295e156225b8cce95ad932e3f5c53159d679c13bfc3580aff241","2021-02-07 00:00:00.000"
"60566","10","14.0","14.00","1613910911","898c47457b340a8ba27314af8a92a8c79329235c2bc9ed1035f77a0cd76063ee","2021-02-21 00:00:00.000"
"59894","2","20.0","20.00","1613884097","8bcae5ec58c2a7f6712392c321d24e8e611b953876f0a23f93ec3898e9763688","2021-02-21 00:00:00.000"
"49909","15","5.0","5.00","1612680165","4d6045f7d19664d18cdea7771433e55ca52dfd5a9499de7395e33e62fed489cb","2021-02-07 00:00:00.000"
"49840","15","5.0","5.00","1612677252","28605dccdb53026857f80b08e9a467b25e9bf5cd00dfa9e18974478f8232ebdc","2021-02-07 00:00:00.000"
"59925","4","20.0","20.00","1613885135","a4a126caa92484b87a59134d2c4bc8cded8c84228a12f137335541cdd7b85018","2021-02-21 00:00:00.000"
"49838","15","20.0","20.00","1612677174","310c863f6a8c42e3a8e5fce00ec01dcfa387f9623844a3baff11a10c45ec0e58","2021-02-07 00:00:00.000"
"49870","15","1.0","1.00","1612678050","1b7506a3e561763b45bb64b50f714c244276af86a6f3d8335ee0c50c4a94bc83","2021-02-07 00:00:00.000"
"60338","11","30.0","30.00","1613901686","69cdff9138db904a21c41d78851fd01fa2d47af1150ccba50642a9323bbf7afd","2021-02-21 00:00:00.000"
"50093","7","10.0","10.00","1612684988","9246d23279683e3c895306fc0ca9acd18d11554402600a1ced640815658fddc0","2021-02-07 00:00:00.000"
"60154","3","16.0","16.00","1613894893","1969388258165c4d5d1ab25b16c2b189fedd035d6e014dc3b9cd6ac84b0ffabc","2021-02-21 00:00:00.000"
"49774","9","1.0","1.00","1612674949","58ca6c93dc866baa069032a2f89773487de648bc987e12f60c824f51b3758b94","2021-02-07 00:00:00.000"
"59881","7","20.0","20.00","1613883842","de3c8b421a55f29995dab804157dfdc505c6a93c009c76098b541215b6101aad","2021-02-21 00:00:00.000"
"49812","19","22.0","21.00","1612676134","0cb2dc4f517a58a1505c42d140ace11ea3cdcc24dc1e7e7fe3cadba998570ffd","2021-02-07 00:00:00.000"
"49785","15","20.0","20.00","1612675187","80bf1083633c1f65569d97d38c6480e827bf2971ee915eb2ef7856801e19c491","2021-02-07 00:00:00.000"
"49653","9","40.0","40.00","1612670470","2279fb8c3e2a907d0336ce4db8b8e1d14ef9972c9bd862b2ec88474ee88bc72a","2021-02-07 00:00:00.000"
"60635","10","20.0","20.00","1613912715","15fc1247552339e0077df2430f83c69eb5a4c60d709956d3ed30de832f4a008f","2021-02-21 00:00:00.000"
"50219","11","6.0","6.00","1612689066","c7b2b6ea854e431b5b88f54d998cd1a77eae99c6a02cf0695428bc021e9098da","2021-02-07 00:00:00.000"
"49842","5","15.0","15.00","1612677301","abd3e99b27b51f61f4876ee252f99443194c84b35b3f4ad5e169b5db3f097b3d","2021-02-07 00:00:00.000"
"49710","16","1.0","1.00","1612672377","7468bc9476b6b1474b928dc9a889eaf6ef3ff135127b53c12050107f48f13485","2021-02-07 00:00:00.000"
"49942","5","22.0","21.00","1612680790","55ab02816e487d7b656a3008d1ddcb4b204a3fc30045593359cfbfab89cccdae","2021-02-07 00:00:00.000"
"60240","7","7.0","7.00","1613898054","af308acdd58d7b2d66897b128875df68a472cfd5d2e6d21f631fc17f57a56405","2021-02-21 00:00:00.000"
"49821","2","20.0","20.00","1612676751","56cc0e3a999ee32bdb6a08482b1191b72848a7e6ac1b167566ca87fb6bf20ec3","2021-02-07 00:00:00.000"
"49903","15","1.0","1.00","1612679821","44457f4ee5a508b3f16e038613ce727399f44f033cb8a87b4aaa6bd13a091d03","2021-02-07 00:00:00.000"
"60203","11","10.0","10.00","1613896736","a18021358ba583a17ba9296bb76ba12401502c76392554a5434511861267cabe","2021-02-21 00:00:00.000"
"59931","2","20.0","20.00","1613885468","18fc506ee1567208de1c91cb9184e0f3e00d1ddd6d605608f4eed684d3f9f49b","2021-02-21 00:00:00.000"
